,user,name,cloudProvider,assistance,url,auto_renew,serviceSubscriptedMode,service,servicePrice,serviceSubscriptedStatus,createdAt,objectId,className,dns,expired_date,number_of_year,services,jobDescription,operatingSystem,securityVasServicePrice,storageVasServicePrice,storage_vas_size,cpuVasServicePrice,cpu_vas_size,ramVasServicePrice,ram_vas_size,supportLevelVasServicePrice,professionalServiceVasServicePrice,compagnyBranding,otherUserAccount
700,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testOdoo,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,odoo.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'GTtXZCegOZ'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T12:55:27.662Z,sRnE3sMJgO,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T12:55:35.235Z'}",,,,,,,,,,,,,,,
701,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testOdoo1,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,odoo1.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'GTtXZCegOZ'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:06:47.506Z,UPBD4wURQC,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:06:54.673Z'}",,,,,,,,,,,,,,,
702,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testNextCloud,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,nxtCloud.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'Ya8NmwUNd0'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:13:27.362Z,v421Xg96Go,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:13:34.307Z'}",,,,,,,,,,,,,,,
703,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testDolibar,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,dolibar.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': '8EdDdrAQNK'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:25:24.286Z,3X3oJZNzHe,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:25:31.223Z'}",,,,,,,,,,,,,,,
704,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testOwnCloud,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,owncloud.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': '7m30TaadKw'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:35:41.969Z,1kV5N9ULlD,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:35:49.064Z'}",,,,,,,,,,,,,,,
705,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testRedmine,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,redmine.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'CprptNr2Nx'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:37:02.325Z,P5SOxVwQ8t,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:37:09.772Z'}",,,,,,,,,,,,,,,
706,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testLime,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,lime.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'LobvWDl8Jy'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:42:14.820Z,6MshNsLZAa,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:42:22.035Z'}",,,,,,,,,,,,,,,
707,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testRedmine2,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,redmine1.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'CprptNr2Nx'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': '2IuECVE6nC'}",2018-09-03T13:47:36.452Z,hksKrTFLaM,ServiceSubscripted,,"{'__type': 'Date', 'iso': '2018-09-17T13:47:43.596Z'}",,,,,,,,,,,,,,,
708,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testJenkins,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,jenkins.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'vfroVvgRms'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-03T13:56:15.246Z,J278eNG5s8,ServiceSubscripted,,,,,,,,,,,,,,,,,
709,"{'__type': 'Pointer', 'className': '_User', 'objectId': 't9IQcZ3cdL'}",testJenkins1,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,jenkins1.acesy.nl,False,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'vfroVvgRms'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'whtx8zvRDa'}",2018-09-03T14:02:02.421Z,mUofrTyF7H,ServiceSubscripted,,,,,,,,,,,,,,,,,
