,name,createdAt,updatedAt,price,billingPackage,change,billingType,number_of_email,number_of_month,storage_string,storage,description,number_of_user,url_image,regular_price,description_fr,ACL,objectId,__type,className,operatingSystems,ram_string,bandwith_string,ram,bandwith,operatingSystemType,number_of_website,number_of_database,extra,number_of_contact,signup_form,image_storage,handling,warrantly,number_of_subdomain,number_domain,cpu_string,cpu,features,type,features_fr,number_ongoing_meeting,number_attendees_per_meeting,number_of_meetings,enable_schedule,max_meeting_duration,is_entry_price,crossed_price,sent_invitation_email,enable_branding
20,Standard SSL,2018-07-13T16:22:30.343Z,2019-10-21T14:53:38.202Z,64.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},7wMgClbVFv,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,1.0,,,,,,,,,,,,,,
21,Standard SSL,2018-07-13T16:22:30.521Z,2019-10-21T14:53:23.677Z,129.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},6KcY3aepXm,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,1.0,,,,,,,,,,,,,,
22,Standard SSL,2018-07-13T16:22:30.701Z,2019-10-21T14:53:34.992Z,299.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},KhwnCxmIAY,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.1,1.0,,,,,,,,,,,,,,
23,Standard SSL,2018-07-13T16:22:30.884Z,2019-10-21T14:53:31.137Z,599.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},64113sv769,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.1,1.0,,,,,,,,,,,,,,
24,Standard SSL,2018-07-13T16:22:31.051Z,2019-10-21T14:53:45.432Z,89.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},ChUkRUSaMz,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,5.0,,,,,,,,,,,,,,
25,Standard SSL,2018-07-13T16:22:31.236Z,2019-10-21T14:53:57.596Z,179.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},eQ52JrL48l,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,5.0,,,,,,,,,,,,,,
26,Standard SSL,2018-07-13T16:22:31.403Z,2019-10-21T14:53:54.019Z,169.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},X8FxLOm0hQ,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,10.0,,,,,,,,,,,,,,
27,Standard SSL,2018-07-13T16:22:31.574Z,2019-10-21T15:07:42.221Z,339.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},ybRJZG2d7Y,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,10.0,,,,,,,,,,,,,,
28,Standard SSL,2018-07-13T16:22:31.745Z,2019-10-21T14:53:49.971Z,249.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},477MFyfDE0,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,15.0,,,,,,,,,,,,,,
29,Standard SSL,2018-07-13T16:22:31.913Z,2019-10-21T14:56:19.277Z,499.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},v45SSmGMPh,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,15.0,,,,,,,,,,,,,,
30,Standard SSL,2018-07-13T16:22:32.086Z,2019-10-21T14:56:25.463Z,329.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},3AcVWfiNVP,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,20.0,,,,,,,,,,,,,,
31,Standard SSL,2018-07-13T16:22:32.266Z,2019-10-21T15:07:48.893Z,659.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},w0UAWUnRzb,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,20.0,,,,,,,,,,,,,,
32,Standard SSL,2018-07-13T16:22:32.443Z,2019-10-21T15:08:04.982Z,469.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},x5yPT8XlqL,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,30.0,,,,,,,,,,,,,,
33,Standard SSL,2018-07-13T16:22:32.617Z,2019-10-21T15:08:13.571Z,939.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},sixXPFvKb0,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,30.0,,,,,,,,,,,,,,
34,Standard SSL,2018-07-13T16:22:32.789Z,2019-10-21T15:08:18.040Z,609.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},zgVyBN2Ugc,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,40.0,,,,,,,,,,,,,,
35,Standard SSL,2018-07-13T16:22:33.091Z,2019-10-21T15:08:31.942Z,1219.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},TQT1EUYJsF,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,40.0,,,,,,,,,,,,,,
36,Standard SSL,2018-07-13T16:22:33.258Z,2019-10-21T15:08:27.960Z,749.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},4HZ3YHDlx9,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,50.0,,,,,,,,,,,,,,
37,Standard SSL,2018-07-13T16:22:33.430Z,2019-10-21T15:08:25.389Z,1499.98,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,24,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},4V77wicl0p,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,50.0,,,,,,,,,,,,,,
38,Standard SSL,2018-07-13T16:22:33.603Z,2019-10-21T15:08:21.123Z,1499.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,12,,,Verifies your domain control & secures your site.,,,,,{'*': {'read': True}},48IAI2NnDc,Object,ServicePrice,,,,,,,,,"['Domain validated', 'Issued within minutes']",,,,,100000.0,0.2,100.0,,,,,,,,,,,,,,
